,winery,description,points,price
1063,Georges Duboeuf,"This is a soft, open wine, full of ripe berry fruits and red cherries. There is only the lightest tannin, along with bright acidity, a wine that is so ready to drink.",86,
1064,Kunde,"Rich and fine, if a little too sweet and oaky. But those are the popular tastes in Chardonnay, and Kunde delivers. The fruit is potent in pineapple jam and Key lime pie.",87,17.0
1065,Testarossa,"With brisk acidity and a tight, minerally feeling, this Pinot Noir is very dry, showing robust cherry flavors. It seems like an ager, but some raisiny overripeness might compromise it.",87,54.0
1066,Santa Ema,"Lime, green bean and asparagus notes vie for leadership on the nose. The palate is plump, round and a touch creamy, then coastal flavors of green bean, green apple and raw asparagus take over and finish with an oily texture and mildly bitter flavors.",87,15.0
1067,DFJ Vinhos,"This young, ripely fruity wine is made to be drunk quickly and easily. It has light tannins, plenty of red fruits and acidity. It is smoothly textured, with a crisp aftertaste.",87,10.0
1068,Kunde,"A little heavy, thick and jammy, like melted blackberry jelly mixed with alcohol. Okay with pizza, burgers and such.",83,18.0
1069,Louis Jadot,"This Jadot is a combo of long-term contract vineyards and its Régnié Cru, demonstrating that knowing the terroir makes a difference. The blend shows well in this rich, full wine. It reveals ripeness—round and full of strawberry flavors from the 100% Gamay, with a tight layer of mineral acidity at the end.",90,13.0
1070,Santa Ema,"This is a bullish blend of 75% Cabernet Sauvignon with Carmenère and Cab Franc. Aromas of horse hide, mint, baked berries and vanilla lead to a live-wire palate with scratchy tannins and staunch acidity. Flavors of baked berry, cassis, vanilla and herbs finish peppery and lightly herbal. Drink through 2018.",90,75.0
1071,DFJ Vinhos,"The Douro version of Paxis is a blend of Touriga Franca, Touriga Nacional and Tinta Roriz. It is a rounded, smooth and spicy wine, with weight and richness. Packed with red berries and plums, it is fruity and structured, with tannins providing a strong base of support. Drink from 2014.",90,9.0
1072,Feudi di San Gregorio,"Made from Falanghina, a variety native to Campania, this sparkler shows heady aromas of white spring flowers and Golden Delicious apple. The palate is vivacious and refreshing, featuring apple and pear layered with hints of nut and pastry dough.",90,39.0
1073,DFJ Vinhos,"Citrus and ripe yellow fruits weave harmoniously throughout this warm, rich wine. There is no wood, just generous fruitiness and acidity in a creamy texture. It is approachable now, although it will be better from 2016.",88,13.0
1074,DFJ Vinhos,"Planting Alvarinho in the Lisboa region, many miles south of its native Minho, could be risky. But winemaker José Neiva Correia took a chance on the ocean-climate similarities and the result is a wine that's as fresh and crisp as possible. Citrus, green plums and lively acidity all come together in a wine that has a bright, spicy aftertaste.",88,13.0
1075,Williams Selyem,"Textured vanilla-cream and green apple appear initially in this wine, which offers plenty of weight and structure around a core of balanced acidity and fresh lemon zest. Cardamom and vanilla play at the edges alongside elements of savory brine and white flowers. The oak presence is subtle.",92,58.0
1076,Siduri,"Adam Lee takes hold of one of the appellation's iconic vineyards and delivers clean, fresh aromas of mushrooms, raspberries, mocha and graphite. The palate shows soy, shiitake and more raspberry, an excellent study of the grape done in the Siduri style.",92,52.0
1077,Trapiche,"Minerally, earthy aromas of plum and blackberry are oaky and attractive. This is round and well balanced, with cassis, blackberry, spice and herbal flavors settling on a spicy finish led by cardamom and clove notes as well as a smooth feel. Drink through 2017.",91,30.0
1078,Concha y Toro,"Lightly herbal on the nose, but overall there's more ripe berry and toasty chocolate aromas than green. Full, meaty and deep for a value-priced wine, with blackberry and black plum flavors along with a pinch of oregano and basil. Shows good weight and balance throughout. Impressive for a 50,000-case product.",87,8.0
1079,Williams Selyem,"Weir has never been my favorite Williams Selyem Pinot, although it has its fans. The ‘05, as with previous vintages, is dry and tannic, showing a toughness that's almost rustic. The flavors are of cherries, cassis, cola, balsamic-splashed sautéed wild mushrooms and dusty spices. Could do interesting things over the years.",87,56.0
1080,Chehalem,"The Stoller bottling from Chehalem shows some dark, musky flavors, with black cherry fruit wrapped around whiffs of smoke and the commonly found Oregon notes of tomato leaf and bud. Despite its immediate impact, it falls a bit light in the back end, and does not have quite enough weight to support the thick tannins.",87,44.0
1081,Gary Farrell,"There are equal parts strawberry and earth in this Pinot, sourced from the who's who of vineyard sites in Russian River, including Toboni, Hallberg, Floodgate, Rochioli and Bacigalupi. The components come together in mesmerizing ways, making for a balanced and restrained Pinot that's fresh in strawberry and cherry as well as seasonings of herb and cinnamon spice, building power as it goes.",90,45.0
1082,Chateau Ste. Michelle,"Barrel spice, pineapple, butterscotch and candlewax aromas are followed by full-bodied tropical-fruit flavors. It displays a lot of richness but retains its sense of balance.",90,17.0
1083,Iron Horse,"This is the driest of Iron Horse's new releases, but it still has a honeyed richness even though the residual sugar is a comparatively low half a percent. It feels refined, fancy and elegant, with delicious raspberry, lime and toast flavors. The blend is 75% Pinot Noir and 25% Chardonnay.",93,50.0
1084,Foxen,"One of the more anticipated alternative whites from Santa Barbara County each year, this wine shows light honey brittle, sour tangerine and a touch of sour cream on a bright and lithe nose. The palate offers delicate cherimoya and soft nectarine fruit cut by lime juice and orange rinds, proving light but bursting with energy and flavors.",91,25.0
1085,Santa Ema,"A zesty wine with more zap and tang than one might expect. That said, it's solid as a rock, with intense flavors of cherry, plum, carob and oak. Call it a bit obtuse, if you will. But even with woody finishing notes of vanilla and cream, this settles on fruit more so than the barrel. Carmenère (78%) with Syrah and Carignan.",90,19.0
1086,Testarossa,"A fine, delicious Chardonnay, less expensive than most of Testarossa's other single-vineyard Chards, but as good. Crisp in acidity, it offers very rich pineapple tart, Key lime pie, golden mango and lemon custard flavors, made even richer by smoky, sweetly caramelized oak.",92,39.0
1087,Kendall-Jackson,"A beautiful, racy Chardonnay, with a streamlined structure that could almost be a fine, barrel-aged Sauvignon Blanc. It's marked by mouthwatering acidity, with savory lemongrass, hay, vanilla and white pepper flavors. First class and elegant as a cocktail sipper.",92,30.0
1088,Montes,"A classic high-end Carmenère, with enticingly rich, chocolaty, herbal aromas. The palate is lush but balanced, with a generous texture, smooth tannins and plenty of depth. Saturated in flavor, with blackberry, herbal notes, chocolate, spiced meat and more. Drink now through 2012.",92,72.0
1089,Kendall-Jackson,"Very fine Chardonnay, marked by brisk, racy acidity and a steely tang to the lemon, lime, white peach and honeysuckle flavors. Very complex and lively, an alluring wine that will take a few years in the bottle.",92,25.0
1090,Gary Farrell,"Dark gold in color, this is a memorably luxurious and vivacious wine, tangy in grapefruit, burnt orange and cardamom. Layered and complex, it evolves as it opens to a lingering tease of butterscotch topped in nutmeg. It is an outstanding vision of an outstanding site, a wine for the ages.",96,60.0
1091,Concha y Toro,"Aromas of baked blackberry are a touch earthy but mostly easy to process. This Cabernet feels solid but not overextracted. Malty, earthy flavors of baked berry fruits and cassis finish with coffee and mocha notes. Drink through 2021.",90,
1092,Jean-Luc and Paul Aegerter,"This dense wine is still very young. The fruit still needs to express itself in a wine that is broad and ripe. Give this rich wine, with its creamy texture and touches of spice from wood aging, until 2021.",90,114.0
1093,Louis Latour,"The wine is ripe with red-cherry and plum flavors and plenty of acidity to balance. It is a rounded wine, generous with fruitiness and with a touch of tannin at the end. This is a fine village wine from this attractive appellation.",90,45.0
1094,Williams Selyem,"Perhaps the lightest Pinot in the producer's lineup, and the most readily accessible, this is fresh and fruity. Highlighted in strawberry and cherry, it retains a tension of black tea and earth. Silky on the palate, it finishes as lightly as it started.",90,39.0
1095,DFJ Vinhos,"With the typical dark color of this red grape, this is a dense and firm wine. It has rich plum and berry flavors that are dark as well as juicy. Tannins lace the background to this already delicious wine, finishing with refreshing acidity. Drink from 2016.",90,15.0
1096,Kendall-Jackson,"The winery has sourced this wine from their coastal vineyards, which accounts for its acidity and long hangtime raspberry, persimmon and sour-cherry candy flavors. With a silky texture, it's lovely to drink now.",89,24.0
1097,Siduri,This California-made Oregon Pinot captures a sense of the particular terroir of Chehalem Mountains fruit. Wild strawberries are laced with peppery spice and a streak of cola. Good penetration and texture.,88,39.0
1098,DFJ Vinhos,"A serious, rich wine, this is full of ripe berry fruits and structured tannins that highlight a dry core. It's a complex wine with a light touch of acidity, a pinch of pepper and a firm aftertaste that suggests medium-term aging. Drink between 2014–2020.",87,7.0
1099,Siduri,"Spicy and succulent, with superripe flavors of melted cherry jam, milk chocolate, raspberry pie filling, cola and pepper spice. Dry, but a little too soft for all that richness.",87,30.0
1100,Wines & Winemakers,"This wood-aged wine is now mature. Along with spice and toast, it also has an oxidative character that gives softness and warmth. Its rich flavors are full bodied, bringing out citrus and intense acidity. The wine is ready to drink.",90,28.0
1101,Wines & Winemakers,"Vines grown on sandy soil yield a wine that is accessible now. Full, soft and ripe with red berry fruits, the palate is marked by gentle tannins and an attractive burst of fruity acidity. Drink now.",86,11.0
1102,Trapiche,"Spritzy lemon-lime aromas are attractive; there's lemon meringue and green herbs on the palate, and a narrow, fresh finish to close the deal.",84,7.0
1103,Testarossa,"A first-rate Pinot Noir, dry and firm in structure. There's a solid minerality girding the ripe cherry, red currant and cola fruit, while sweet oak provides an ample, but balanced, coating of vanilla and toast. Luscious now right out of the bottle, and should age for a good eight years.",93,65.0
1104,Williams Selyem,"Very powerful, very strong, almost overwhelming in the sheer wealth of fruit and oak, but balanced with acidity. Winemaker Bob Cabral himself calls it “concentrated.” It detonates on the palate with an almost dessert wine quality of lemons, pineapples, honey, vanilla and minerals, but it's totally dry. Will hold for perhaps six years.",95,50.0
1105,Williams Selyem,"A wonderful wine from one of the best vineyards in Anderson Valley. It's a bit acidic and tannic now, the result of this cool vintage, but time in the bottle should soften and resolve the tartness and astringency. The wine itself is very dry, with flavors of cherries, cola, balsam, Asian spices and oak. Needs aging through at least 2012 to awaken it.",94,62.0
1106,Williams Selyem,"The 2007 vintage was a fabulous one for Williams Selyem, and the Zinfandels benefited from the cool, balanced growing season. The Papera is a big, rich, jammy wine, but also a drily elegant one. It offers waves of raspberry, Fig Newton, red currant and Canadian bacon flavors, with superfine tannins. An exuberant Zinfandel now and for the next six years.",94,48.0
1107,Lynmar,"Lynmar has released this, the first of their 2012 Chardonnays, early, in order to let the fruit star. It's flashy, like a conga line of pineapples, oranges, mangoes, limes and papayas. Tasty, direct and appealing, it would be amazing with bacon-wrapped shrimp.",88,20.0
1108,Concha y Toro,"A mix of tropical and citrus aromas is balanced by classic Leyda scents of bell pepper and jalapeño. This is crystal clear and zesty on the tongue, with cutting acidity. Lemon, tangerine and briny notes create a citrusy flavor profile, while the finish is juicy, crisp and cleansing.",89,22.0
1109,Trapiche,"Dark but reduced aromas of tire and blackberry set up a muscular palate with pinching tannins. Roasted, oaky flavors of spicy berry, clove and cocoa finish with a final woody note and choppy toughness.",88,15.0
1110,Robert Mondavi,"Rich in tropical fruit and citrus flavors and generously oaked, this Chardonnay is made in the modern style, designed to appeal. It's dry and properly crisp, with a fine minerality, but is overworked. You can feel the heavy hand of the winemaker.",86,40.0
1111,DFJ Vinhos,"Solid and chunky, a wine that fills the mouth with its attractive red fruits, structured tannins and a general juicy feel. A fine barbecue wine.",86,8.0
1112,Feudi di San Gregorio,"Made from Aglianico grapes, this fresh rosé is a garnet-pink color, with savory aromas of forest floor, bramble, wild berry and white almond. A touch of sassy spice defines the finish.",86,15.0
1113,Robert Mondavi,"This is a fairly ordinary Merlot. It's dry and pleasantly oaked, with some modest cherry and spice flavors. Yet it's a bit off in texture, with jagged tannins.",86,23.0
1114,Louis Jadot,"Very jammy in character, this is a soft, ripe wine. It seems almost too ripe, a wine that is rounded without great texture. It will be ready to drink by the end of the year.",85,37.0
1115,Domaine Zind-Humbrecht,"A hint of flinty reduction still plays on the nose, barely letting any of the pure fruit notes escape but both ripe and crisp pear appear. The palate still shows some yeasty funk but convinces with purity, sheer power and concentration. This feels urgent and direct, strong and stony, boisterous with sheer force and drive. This needs time to settle but will be a very convincing, even forceful and energetic Pinot Gris with some bottle age. Drink 2020—2035.",94,80.0
1116,Domaine Zind-Humbrecht,"Yeasty funk still dominates the nose and only lets a touch of lemon zest through. The palate continues with the zesty background against which flashes of riper fruit appear: juicy pear and luscious tangerine. The fruit expression is ripe but utterly fresh. The taut dry palate is anchored in something cool and fresh, something that expands as texture and fills not only the palate but also the mind. This is fresh and luminous, elegant and fine boned. Drink now through 2030.",94,55.0
1117,Domaine Zind-Humbrecht,"Something floral and stony appears on the nose, along with a hint of smoke and something uncompromising and hard. The palate then packs a real punch: the wine hits you like a bullet of concentrated freshness and citric verve. This is bundled and effective, delivering a hit of ripened freshness with its lemon-zest dominated, dry tanginess. The finish has something juicy and luscious and is absolutely dry and clean. Totally lip-smacking. Drink now through 2027.",94,55.0
1118,Domaine Zind-Humbrecht,"A touch of flinty funk hovers on the nose. The palate at first unfurls in a grapefruity zesty texture on which riper notions of pear and peach, quince and smoke are displayed. The merest touch of residual sweetness lends a baroque sheen to this tableau, always countered by spicy zesty freshness while being so seductive. The dry whistle-clean finish still tingles with that aromatic fruit of the concentrated midpalate. A great expression of the great 2015 vintage: rich but streamlined, seductive but contained and therefore all the more intriguing. Drink now through 2035.",94,40.0
1119,Domaine Zind-Humbrecht,"A touch of funkiness hovers over fresh pear notes. The palate then offers fresh-faced, tart and ripe pear notes, etched with citrus freshness for extra precision and purity. This is so inviting and disarming, it is a joy to savor. Despite the generously ripe fruit, a coolness runs through this, anchoring the flavors in freshness and drive. Simply delicious and so balanced, so you can enjoy it now, though it will cellar well through 2027.",94,55.0
1120,Lynmar,"Weighty and creamy in rich tones of just-picked pineapple and Key lime, this is round and expansive on the palate, with undertones of earth and herb. Complex layers of apple and almond interplay, before a finish of honey and spice lingers.",93,55.0
1121,Columbia Crest,"This wine surprises by being so very pretty—unexpected from such a hot site. Lovely scents of raspberry, strawberry, mint and spice lift the nose; the palate is medium-bodied, nicely tart, perfectly balanced and long. The mix of sweet and tart red fruits lasts deliciously, with the spice adding grace notes. Though blended and aged in 100% new French oak barrels, the oak is muted, and the fruit shines through.",91,35.0
1122,Chanson Père et Fils,"From Chanson's five-acre parcel of the Beaune Grèves vineyard, this is a ripe, softly tannic wine, more dominated by strawberry flavors, rich and deliciously sweet. Not for long-term aging, but worth 2–3 years' waiting.",91,
1123,DFJ Vinhos,"The wine is rich, bringing together two great white grapes. Both give the ripe smooth texture, while the Alvarinho also brings in its crisper charms. Pear and green-plum flavors dominate this intense and concentrated wine. Drink from late 2017.",89,12.0
1124,Wines & Winemakers,"This is big, concentrated wine produced from old vines. It has a dense blackberry fruit backed by layers of firm tannins. Rich and full bodied, it will be better from 2018.",91,18.0
1125,Wines & Winemakers,"Old vines give this ripe and fruity wine both concentration and a fine perfumed character. With a short six months in wood, it's smooth, creamy and rich with apricot and mango flavor, needing some aging. Drink from 2018.",91,22.0
1126,Jean-Luc and Paul Aegerter,"This rich and generous wine has weight, concentrated yellow fruit and citrus flavors. Full bodied, its rounded texture is cut by a mineral element that brings the crisp acidity of the vintage. Developing well, it will be best from 2018.",91,82.0
1127,Chehalem,"Young and visibly spritzy, this appealing wine bursts forth with scents of lemon tea and orange blossoms, followed by flavors of orange soda, candied pineapple and stone fruits. It's round and fruity, definitely sweet, but kept lively with plenty of acid and that tongue-tickling spritz.",90,24.0
1128,Concha y Toro,"Neutral white-fruit aromas are slightly oxidized. This Chardonnay feels chunky and creamy, with only moderate acidity. Sweet-leaning flavors suggest canned pineapple, while this feels syrupy and tastes like papaya on a soft finish.",86,17.0
1129,Undurraga,"Peppery, herbal lead aromas settle on lactic, chocolaty oak and berry scents. This feels fresh, grabby and fairly well balanced. Flavors of blackberry, cassis and spice filter down to a solid feeling finish with flavors of cassis, herbs and spice.",87,17.0
1130,Iron Horse,"Nothing but tons of pure Chardonnay flavor in this unoaked wine. It brims with pear, peach, pineapple, green apple, passionfruit and honey flavors that are brightened with citrusy acidity.",87,25.0
1131,Columbia Crest,"This is a changed wine from previous vintages, now emphasizing the berry flavors of the fruit and not shying away from some chewy tannins. It seems more honest and direct, without the wash of vanilla and jam, and more food-friendly as well, with the stuffing to take on a flank or hanger steak.",87,12.0
1132,Columbia Crest,"The blend includes 6% Syrah, and the wine has a pretty plum and blueberry color, that (perhaps by the power of suggestion) carries through into the aromas. It's tight, tart, and clean, offering a mix of berry fruits and a finish lined with vanilla and tobacco. Overall the balance is excellent, the wine juicy and fresh, and the blend just about perfect.",87,8.0
1133,Columbia Crest,"Vivid and snappy, this was fermented in stainless steel, with a small percentage aged in neutral barrels to soften the mouthfeel. It's spicy and fresh, with a mix of fruit flavors including grapefruit and pineapple. A touch of vanilla enlivens the aromas.",87,15.0
1134,Georges Duboeuf,"There is no question about the wood here. It dominates the aroma and the palate, burying the fruit in a smooth, vanilla character. It is a pleasure to drink, but seems to have removed itself from Beaujolais.",87,
1135,Trapiche,"Black and charred at first, with licorice, asphalt and a touch of bacon on the bouquet. The palate is soft, soupy and round, with ripe, saturated berry and fig flavors. Finishes spicy and full, with chewy tannins and ample extract.",87,10.0
1136,Undurraga,"Spicy cherry and plum aromas are dark yet austere. Racy, acidic and full of energy across the palate, this coastal Pinot delivers snappy beams of red plum and raspberry flavors before a lightly spiced finish that goes the distance.",90,24.0
1137,Testarossa,"With buttered toast and vanilla cream flavors, this Chardonnay also has underlying notes of tropical fruits, pears and limes. It's rich and simple.",84,20.0
1138,Georges Duboeuf,"Named after the French soldier who served under George Washington, this is an attractive, upright wine. Acidity and fresh cherries come through strongly along with a dry layers of tannins. It's likely to age at least a few more months, so drink from 2016.",87,
1139,Louis Latour,"From its own estate, this Louis Latour wine is a ripe, strawberry- and juicy plum-flavored wine, sustained by a well- judged dry layer of tannins. It is sweet, the acidity showing through in the red fruits.",89,50.0
1140,Trapiche,"For several vintages running Broquel has nudged the border between very good and excellent, but as in years past the '06 is a touch tangy and racy, with black cherry, plum and berry flavors. It's bold, zippy and quite high-toned, but still it's very competent and held together.",89,17.0
1141,Louis Jadot,"Very fresh, very raspberry, this wine opens gently with sweetness and roundness. The tannins do come into play, but ever so gently, a counterpoint to the sweet, fine fruits that dominate this attractive, relatively early drinking wine.",89,40.0
1142,Testarossa,"The vineyard is in the northwestern, coolest part of the Highlands, which is most susceptible to the chilly winds that blow in from Monterey Bay. You can taste the salty tang of the sea, and the wine certainly is high in acidity. It's also deep in cherry, raspberry, currant, cola and spice flavors. Delicious now, and should mellow over the next six years.",92,59.0
1143,Testarossa,"This regional bottling has been a strong suit of Testarossa over the years, a best-barrel blend from their far-flung coastal empire of vineyards. It's very rich in apricot, pineapple, honeysuckle and smoky oak flavors, and finishes dry and spicy. Shows an elegant complexity that should develop over the next six years.",92,55.0
1144,Gary Farrell,"Aromas of baked sour cherry tart precede pleasing wafts of violet and lavender. From a vineyard planted largely to a field selection of the Swan clone, it offers an expected earthiness and spiciness that intrigues around a core of balanced tension between fruit, acid and oak.",91,55.0
1145,Louis Latour,"A light, delicate wine, with spice and pear flavors, some quince, green plums. To balance this, there is a streak of minerality, which cuts through the fruits.",89,
1146,Chateau Ste. Michelle,"Don't let the price tag fool you; this is a sophisticated blend with Merlot, Cab Franc, Malbec and Syrah comprising a quarter of the total. Aromatic and inviting, it brings spicy berry, red currant and Bing cherry fruit into play. Chewy tannins carry a hint of herb, and the presence of new oak is minimal at best. Just a hint of chocolate malt hits in the finish.",87,16.0
1147,Trapiche,"Although Argentina is hardly Pinot Grigio country, this is a tropical-style quaffer with good balance and enough acidity to avoid coming across heavy. Creamy aromas of melon and lychee set up flavors of nectarine and tangerine. A lasting but modest finish is fair and appropriate.",85,10.0
1148,Undurraga,"Earthy plum and cherry aromas are cool and lightly herbal. This feels juicy and tight, but clean. Flavors of herbal plum are a touch roasted, while this everyday Cab finishes spicy and the slightest bit green.",87,11.0
1149,Wines & Winemakers,"Light, crisp and fruity, this is a bright, citrus driven wine. It is dry, full of ripe apricot and grapefruit flavors. The wine is ready to drink.",87,12.0
1150,Wines & Winemakers,"A fruity wine, with juicy red fruits and a balance of light, dry tannins. The wine is dusty, firm, showing some earthy barnyard character. The aftertaste brings out acidity.",84,12.0
1151,Wines & Winemakers,"Perfect apéritif Vinho Verde, light as a feather, attractively laced with citrus and peach flavors. It has a light prickle on the tongue, with a soft aftertaste.",84,9.0
1152,Wines & Winemakers,"Fruity and smooth with bright red fruit and the lightest touch of tannin, this Castelão-dominated blend has a shot of acidity to keep it all crisp. Drink now.",87,12.0
1153,Kunde,"Ripe tangerine, peach jam, vanilla and oak flavors are penetrating in this soft, creamy Chardonnay. It's a ripe, rich wine that's widely appealing.",85,27.0
1154,Testarossa,"This very elegant nose is like a love potion perfume of violet, sterling rose, myrrh and raspberry essence. The flavors veer toward tart raspberry and cranberry, with cola and purple flowers coming through before a brisk acidic finish.",92,61.0
1155,Fess Parker,"This age-worthy wine smells like the shady side of a mountain, with black olive notes and roasted fennel alongside cedar-spiced strawberries and brambly berries. Both firm tannins and pungent acidity fuel the palate, with cherry, raspberry and slightly bitter espresso. Drink 2020–2025.",92,50.0
1156,Jean-Luc and Paul Aegerter,"This ripe, full and structured wine is developing well. Rich, dark fruits come complete with juicy acidity and a complex, dense texture. Structure and fruit together promise aging and this wine will be ready to drink in 2016.",92,
1157,Jean-Luc and Paul Aegerter,"The power and structure of a Corton-Charlemagne are very evident in this firm and closed wine. At this young stage, it is all about the concentrated texture and weight. The acidity and the rich fruits will come later. Drink from 2018.",92,230.0
1158,Fess Parker,"This clonal study blends rich black cherry and sassafras notes with cola, savory herbs, strong iron and slight scorched rubber aromas. The palate jumps from a red cherry and cranberry tartness right into a toasted sage and pencil-lead character.",87,55.0
1159,Louis Latour,"Ripe quince and white pear flavors are touched with wood. This wine from the Mâcon region, has fresh acidity and some richness.",85,
1160,Williams Selyem,"This is beautifully lilting in preciously defined aromas of rose petal and wild strawberry. From there, it's all subtlety and ethereal elegance. The wine is restrained, nurtured in a basket of nutmeg and graham cracker, as well as freshly packed mushroomy earth. This wine is a stunner right out of the glass, but is sure to continue its fine course through 2022–2025.",97,59.0
1161,Domaine Zind-Humbrecht,"With its strongly mineral-textured base, this is a complex, impressive wine. It has fruit weight with lychees, mangos and spiced pears along with acidity that gives the wine just the lift it needs. Power and style go hand-in-hand in this wine. Drink from 2019.",96,120.0
1162,Williams Selyem,"Those who think they prefer anything but Chardonnay may be convinced otherwise with this wine. It is so powerfully evocative in crisply rendered Meyer lemon and tangerine notes, with aromas of fresh white flowers teasing provocatively on the nose. Seamless and seductively bright in acidity, it glides down the palate, hinting at a richness that never becomes overdone.",96,65.0
1163,Williams Selyem,"Silky on the palate, this offers exotic aromas of orange blossom and spicy cardamom. Juicy in fresh cherry, it combines structured elegance and plenty of power, amid a mouthwatering quality that's seductively delicious and yet just begs the question of how much more nuanced the flavors will be in time. Drink through 2022.",95,105.0
1164,Williams Selyem,"Fresh-picked Bing cherry delights on the initial entry into this silky Pinot, sourced from a long-famous site in the heart of the Russian River. Medium-bodied and nicely structured, it offers ample concentration around a core of elegance, with a lingering finish of vibrant cherry. Enjoy through 2022.",95,79.0
1165,Williams Selyem,"This vineyard-designated wine reflects its sense of place remarkably well, offering tight dark cherry and blueberry around a strong character of wild earth, tea and herb. High in acidity and minerality, and yet powerfully understated, it's gorgeously drinkable now but will gain further complexity through 2022.",95,78.0
1166,Williams Selyem,"This classic Chardonnay brims in lemon chiffon, stony minerality and luscious pear. The complex, soft, supple layers continue to surprise in the glass, teasing the palate with unexpected notes of nutmeg and Tahitian vanilla.",95,55.0
1167,Domaine Zind-Humbrecht,"This is a sweet wine, very ripe with a smooth, opulent texture. It's full of lychee and peach flavors, allowing just a corner for acidity and freshness. This is just beginning to develop into its impressive and full potential. Drink from 2018.",95,85.0
1168,Georges Duboeuf,"From dark granite soil, this wine is structured and concentrated. It has ripe black-cherry fruit and spice that add to the mineral texture and firm tannins in the background. Drink this cru wine from late 2017.",88,20.0
1169,Concha y Toro,"Powdery, wayward aromas pick up more raciness and green character with time in the glass. A linear palate flat-lines at lime and green apple in terms of flavors, while the finish brings a slightly vegetal tone.",86,17.0
1170,Louis Latour,"Closed at this stage, the wine has acidity, minerality and the potential of ripe pear and apricot fruit flavors. The wood is showing strongly but will integrate, while the texture promises good aging.",91,75.0
1171,Undurraga,"For a large-production wine (47,000 cases made), this is nice and easy to drink. Tropical fruit aromas are lightly citric. In the mouth, this is fresh and easy, with nectarine and tangerine flavors. Freshness and simplicity are this wine's calling card.",86,13.0
1172,Jean-Luc and Paul Aegerter,"This wine, while rich, has all the minerality and crisp texture associated with the appellation. Wood aging adds spice. It needs some aging, not much, and will be ready to drink from 2019.",90,86.0
1173,Louis Latour,This wine has weight and richness. It is ripe with apricot and peach flavors that are happily balanced by a crisp edge of acidity. Its texture will give it a good future. Drink from 2019.,90,78.0
1174,Albert Bichot,"A superb wine, the tannins carrying along the dense structure with ease and grace. The purity of the ripe berry fruit is very marked, with acidity giving freshness to the sweet wine. The whole ensemble is developing well, but will need many years' aging.",95,115.0
1175,Louis Jadot,"This is a wonderful wine, very ripe, the blackberry and sweet fruits all here, While the tannins are solid and concentrated, they are in the center of a lush, beautifully rich series of flavors that range from fruit to licorice to spice. The wine shows great aging potential.",95,95.0
1176,Louis Jadot,"With entrancing smoky aromas, this is a ripe, intense and powerful wine. The tannins are dry, contrasting with the black fruit-juice flavors, black chocolate and a dry final taste. For long-term aging.",95,
1177,Chanson Père et Fils,"Rounded and fat, with the weight and power of white wines from Corton. The texture is taut, still very young, waiting to allow the full richness of the fruit to come through. Impressive, it needs a minimum of four years aging.",95,
1178,Chanson Père et Fils,"With its solidly dry tannins, this is a powerhouse, very dark in texture, very structured. The fresh fruit is just showing from all this intensity. Still very youthful, this is an impressive wine for aging over many years.",95,
1179,Chanson Père et Fils,"A foursquare, solid wine that shows its structure right up front. It is backed by red fruits and acids that lend a warm feeling. Full and dense, this needs to age.",88,68.0
1180,Kendall-Jackson,"Here's a rich, flashy Chardonnay. It has a fat, butter-and-cream mouthfeel, with waves of pineapple tart, lemon meringue, buttered toast and honey flavors that finish soft and lush.",88,15.0
1181,Williams Selyem,"This is a soft, complex and floral wine, sourced from an estate vineyard on Westside Road. Black cherry, tangerine and oak reduction make for a bright, brooding combination of medium-bodied lushness and subtle power.",94,105.0
1182,Montes,"This Merlot smells rooty, with licorice and mint to boot. A wide, sort of flabby palate is, at its base, oaky as can be; there's also stewed plum and herbal blackberry flavors in front of a blocky, chunky finish.",86,25.0
1183,Casa Santos Lima,"This wine is soft and creamy with melon and green apple flavors. Light, fruity and crisp, it is ready to drink.",84,10.0
1184,Georges Duboeuf,This is a bright and fruity wine with attractive red-cherry flavors and light tannins. It has crisp acidity and a fresh aftertaste. The wine is ready to drink.,84,15.0
1185,DFJ Vinhos,"This medium-sweet rosé is bursting with ripe strawberry aromas and flavors. It is soft, just edged by crispness and ready to drink with its light, fruity finish.",84,9.0
1186,Chateau Ste. Michelle,"A fine bottle — full, fleshy, immediately throwing out dense aromatics with toast and roasted coffee and bitter chocolate components. A deep vein of black cherry and cassis keeps the core tight and focused, and a small splash of Syrah adds the scent of black pepper.",91,28.0
1187,Kendall-Jackson,"Nicely ripe fruit flavors and a full rounded texture give this affordably priced wine more presence than most. The aroma is honeydew melon and the flavors are ripe apple and Anjou pear, while the acidity is on the soft side.",89,13.0
1188,Maryhill,"After its rather sugary 2006 version of this wine, Maryhill has returned to a more authentic, grassy style in 2007, with the alcohol back up over 14%. It's a big improvement, showing varietal character and ripe flavors of melon and grapefruit.",87,12.0
1189,Montes,"Maybe a little more ripe and heady than some of its Chilean buddies, but this SB from Montes offers freshness, zip and good citrus, tarragon and other green-herb flavors. The feel is good, the character fresh, and the finish long and clean. Offers maybe a little more green-leaf character than some might like, but overall this is another fine value SB from Chile. Drink immediately.",87,12.0
1190,Santa Ema,"Neutral and clean, with hints of melon, apple and cucumber. For a 2007, this is still holding its own. It offers just enough richness and body to tease, but mostly it's a textbook Chilean SB with apple, grapefruit and gooseberry flavors along with a pithy finish. Gracious and tasty, but drink now.",87,9.0
